;01_R110_3_2_1_1;01_R110_3_4_1_1;01_R110_3_6_1_1;01_R110_3_8_1_1;01_R110_3_10_1_1;01_R110_3_12_1_1;01_R110_3_14_1_1;01_R110_3_16_1_1;01_R110_3_18_1_1;01_R110_3_20_1_1
1.8432000000e-03;1.0007154859e+00;1.0007610301e+00;1.0008683832e+00;1.0007100572e+00;1.0008946161e+00;1.0007138540e+00;1.0010036162e+00;1.0007318949e+00;1.0007614766e+00;1.0008122510e+00
2.0480000000e-03;1.0007599864e+00;1.0007290412e+00;1.0007604403e+00;1.0007339165e+00;1.0007460550e+00;1.0006388110e+00;1.0006769944e+00;1.0005741779e+00;1.0007452951e+00;1.0008763953e+00
2.2528000000e-03;1.0007924186e+00;1.0006031543e+00;1.0005943710e+00;1.0006201006e+00;1.0008468118e+00;1.0007163805e+00;1.0007566306e+00;1.0006555031e+00;1.0006363709e+00;1.0008310335e+00
2.4576000000e-03;1.0005863436e+00;1.0007159423e+00;1.0004990622e+00;1.0006844063e+00;1.0006777788e+00;1.0005070550e+00;1.0007284586e+00;1.0005586404e+00;1.0005717098e+00;1.0007873135e+00
2.6624000000e-03;1.0006080474e+00;1.0004471370e+00;1.0003230877e+00;1.0006470606e+00;1.0006849125e+00;1.0004455035e+00;1.0005440291e+00;1.0004516107e+00;1.0005994703e+00;1.0007940123e+00
2.8672000000e-03;1.0006735983e+00;1.0003113758e+00;1.0004689632e+00;1.0005088811e+00;1.0007019104e+00;1.0005580995e+00;1.0006588690e+00;1.0001799191e+00;1.0006172355e+00;1.0003871901e+00
3.0720000000e-03;1.0006994718e+00;1.0003763232e+00;1.0005303540e+00;1.0004375357e+00;1.0005254828e+00;1.0004043298e+00;1.0004874254e+00;1.0001489441e+00;1.0002947219e+00;1.0002588908e+00
3.2768000000e-03;1.0003811500e+00;1.0004715674e+00;1.0005966075e+00;1.0006405076e+00;1.0004857684e+00;1.0004165963e+00;1.0003075493e+00;1.0003067655e+00;1.0001512074e+00;1.0003690540e+00
3.6864000000e-03;1.0004276018e+00;1.0004520617e+00;1.0004411599e+00;1.0003909662e+00;1.0002493742e+00;1.0002005151e+00;1.0002222014e+00;1.0002294731e+00;1.0003098454e+00;1.0003382084e+00
4.0960000000e-03;1.0004246200e+00;1.0002749149e+00;1.0002721654e+00;1.0004184827e+00;1.0004121686e+00;1.0004508886e+00;1.0001924017e+00;1.0001426195e+00;1.0003774311e+00;1.0002499428e+00
4.5056000000e-03;1.0002235072e+00;1.0002709158e+00;1.0002983426e+00;1.0001660130e+00;1.0004063441e+00;1.0003349719e+00;1.0001371717e+00;1.0001511311e+00;1.0003313762e+00;1.0000178950e+00
4.9152000000e-03;1.0001055374e+00;1.0001589550e+00;1.0004588306e+00;1.0002603971e+00;1.0002129439e+00;1.0001656142e+00;1.0001416627e+00;1.0000857868e+00;1.0003409028e+00;1.0001434817e+00
5.3248000000e-03;1.0001653906e+00;1.0002040595e+00;1.0003865941e+00;1.0001084404e+00;1.0002095731e+00;1.0001046675e+00;1.0002377907e+00;1.0000645448e+00;1.0002962810e+00;1.0000845993e+00
5.7344000000e-03;1.0001558151e+00;1.0000623199e+00;1.0002934387e+00;1.0001120014e+00;1.0004053016e+00;1.0001032036e+00;1.0002738363e+00;1.0000580839e+00;1.0001832681e+00;1.0001451737e+00
6.1440000000e-03;9.9999843373e-01;1.0001724784e+00;1.0001666803e+00;9.9998459280e-01;1.0002048563e+00;1.0001989986e+00;1.0002495636e+00;1.0001268385e+00;1.0003133952e+00;1.0000930989e+00
6.5536000000e-03;1.0000386444e+00;1.0001915427e+00;1.0003117568e+00;1.0001198230e+00;1.0001553037e+00;1.0001186041e+00;1.0001949647e+00;1.0002251516e+00;1.0001817018e+00;1.0001625488e+00
7.3728000000e-03;1.0000809214e+00;1.0000531513e+00;1.0002709895e+00;1.0000587012e+00;1.0001122975e+00;1.0000526341e+00;1.0000665036e+00;1.0001098422e+00;1.0001143232e+00;1.0001092289e+00
